,Date,Adj Close,Volume
0,1987-07-29,5.5,201200
1,1987-07-30,5.5625,107000
2,1987-07-31,5.5625,35400
3,1987-08-03,5.5625,23800
4,1987-08-04,5.5625,35800
5,1987-08-05,5.5,23800
6,1987-08-06,5.5,34000
7,1987-08-07,5.5625,11400
8,1987-08-10,5.5625,0
9,1987-08-11,5.625,58200
10,1987-08-12,5.9375,30800
11,1987-08-13,6.125,34000
12,1987-08-14,6.1875,20400
13,1987-08-17,6.0625,22400
14,1987-08-18,5.875,28400
15,1987-08-19,5.875,15200
16,1987-08-20,6.25,72600
17,1987-08-21,6.9375,48400
18,1987-08-24,6.75,36800
19,1987-08-25,6.9375,34000
20,1987-08-26,6.5625,22400
21,1987-08-27,6.3125,21000
22,1987-08-28,6.4375,4000
23,1987-08-31,6.375,4200
24,1987-09-01,6.375,5600
25,1987-09-02,6.375,2200
26,1987-09-03,6.25,6000
27,1987-09-04,5.875,16600
28,1987-09-08,5.4375,15200
29,1987-09-09,5.4375,5800
30,1987-09-10,5.4375,3000
31,1987-09-11,5.8125,13800
32,1987-09-14,5.9375,2800
33,1987-09-15,5.875,3000
34,1987-09-16,5.625,6000
35,1987-09-17,5.5,2400
36,1987-09-18,5.5,1000
37,1987-09-21,5.5,4200
38,1987-09-22,5.625,8200
39,1987-09-23,5.625,5200
40,1987-09-24,5.625,0
41,1987-09-25,5.625,400
42,1987-09-28,5.6875,2800
43,1987-09-29,5.375,5600
44,1987-09-30,5.375,1600
45,1987-10-01,5.875,14000
46,1987-10-02,6.0,10600
47,1987-10-05,5.9375,13600
48,1987-10-06,5.875,2600
49,1987-10-07,5.75,3000
50,1987-10-08,5.75,6800
51,1987-10-09,5.6875,1000
52,1987-10-12,5.5,8600
53,1987-10-13,5.375,5200
54,1987-10-14,5.0625,10600
55,1987-10-15,4.8125,16600
56,1987-10-16,4.5,24800
57,1987-10-19,3.25,67400
58,1987-10-20,3.375,34600
59,1987-10-21,4.0,30200
60,1987-10-22,3.375,19600
61,1987-10-23,3.625,5000
62,1987-10-26,3.375,5000
63,1987-10-27,3.4375,4400
64,1987-10-28,3.4375,8600
65,1987-10-29,3.1875,8800
66,1987-10-30,3.6875,5200
67,1987-11-02,3.875,4000
68,1987-11-03,3.8125,2000
69,1987-11-04,3.875,4800
70,1987-11-05,3.8125,600
71,1987-11-06,3.8125,3200
72,1987-11-09,3.4375,6600
73,1987-11-10,3.375,600
74,1987-11-11,3.5,5400
75,1987-11-12,3.625,1800
76,1987-11-13,3.625,0
77,1987-11-16,3.5625,2200
78,1987-11-17,3.5625,16600
79,1987-11-18,3.6875,4200
80,1987-11-19,3.6875,5600
81,1987-11-20,3.5,7000
82,1987-11-23,3.5,8800
83,1987-11-24,3.5,2600
84,1987-11-25,3.5,6800
85,1987-11-27,3.375,1200
86,1987-11-30,3.1875,2800
87,1987-12-01,3.0625,4000
88,1987-12-02,3.0625,25400
89,1987-12-03,3.0,2000
90,1987-12-04,2.875,8800
91,1987-12-07,2.75,5400
92,1987-12-08,2.5625,5600
93,1987-12-09,2.6875,27800
94,1987-12-10,2.75,8000
95,1987-12-11,2.6875,13600
96,1987-12-14,2.6875,9600
97,1987-12-15,2.75,16400
98,1987-12-16,2.6875,9400
99,1987-12-17,2.625,16600
100,1987-12-18,2.625,35800
101,1987-12-21,2.375,30400
102,1987-12-22,2.6875,20200
103,1987-12-23,2.6875,23800
104,1987-12-24,2.625,11000
105,1987-12-28,2.6875,26800
106,1987-12-29,2.5625,29200
107,1987-12-30,2.625,23000
108,1987-12-31,3.375,87400
109,1988-01-04,3.9375,48000
110,1988-01-05,4.0625,47800
111,1988-01-06,4.75,14000
112,1988-01-07,4.6875,22600
113,1988-01-08,4.5625,17600
114,1988-01-11,4.3125,10200
115,1988-01-12,4.0,13200
116,1988-01-13,4.0625,4000
117,1988-01-14,4.1875,1400
118,1988-01-15,4.3125,8800
119,1988-01-18,4.3125,0
120,1988-01-19,4.375,16000
121,1988-01-20,4.0625,6000
122,1988-01-21,3.9375,2000
123,1988-01-22,4.0625,5000
124,1988-01-25,4.0625,7800
125,1988-01-26,4.1875,400
126,1988-01-27,4.0625,6000
127,1988-01-28,4.125,8600
128,1988-01-29,4.0,3600
129,1988-02-01,4.375,8000
130,1988-02-02,4.25,3000
131,1988-02-03,4.375,1000
132,1988-02-04,4.25,3400
133,1988-02-05,4.25,3200
134,1988-02-08,4.25,4800
135,1988-02-09,4.25,0
136,1988-02-10,4.125,3000
137,1988-02-11,4.0,3200
138,1988-02-12,4.0625,3000
139,1988-02-16,4.1875,6200
140,1988-02-17,4.1875,200
141,1988-02-18,4.1875,17000
142,1988-02-19,4.0625,3800
143,1988-02-22,4.0625,3200
144,1988-02-23,4.0625,1800
145,1988-02-24,4.0,2400
146,1988-02-25,4.0,3400
147,1988-02-26,4.0,200
148,1988-02-29,4.0625,34600
149,1988-03-01,4.0625,0
150,1988-03-02,4.0625,6200
151,1988-03-03,4.0,2800
152,1988-03-04,4.0,2400
153,1988-03-07,4.1875,30600
154,1988-03-08,4.1875,13400
155,1988-03-09,4.25,10600
156,1988-03-10,4.1875,5600
157,1988-03-11,4.25,800
158,1988-03-14,4.5,7600
159,1988-03-15,4.5625,21200
160,1988-03-16,5.375,15800
161,1988-03-17,5.5,14200
162,1988-03-18,5.4375,13400
163,1988-03-21,5.0,31200
164,1988-03-22,5.0625,4600
165,1988-03-23,5.0625,5200
166,1988-03-24,5.0625,4600
167,1988-03-25,5.0625,5400
168,1988-03-28,5.0625,4000
169,1988-03-29,5.125,600
170,1988-03-30,5.1875,1200
171,1988-03-31,5.25,2800
172,1988-04-04,5.5,5800
173,1988-04-05,5.5,0
174,1988-04-06,5.4375,65800
175,1988-04-07,5.375,3000
176,1988-04-08,5.375,4600
177,1988-04-11,5.375,0
178,1988-04-12,5.3125,2000
179,1988-04-13,5.3125,800
180,1988-04-14,5.125,2600
181,1988-04-15,5.1875,5400
182,1988-04-18,5.125,1000
183,1988-04-19,5.125,40000
184,1988-04-20,5.1875,1400
185,1988-04-21,5.3125,16000
186,1988-04-22,5.3125,4800
187,1988-04-25,5.25,4200
188,1988-04-26,5.25,6600
189,1988-04-27,5.125,2600
190,1988-04-28,5.25,9800
191,1988-04-29,5.25,3000
192,1988-05-02,5.125,600
193,1988-05-03,5.125,1800
194,1988-05-04,4.9375,4400
195,1988-05-05,4.375,18200
196,1988-05-06,4.5,15800
197,1988-05-09,4.75,8600
198,1988-05-10,4.75,6600
199,1988-05-11,4.4375,7800
200,1988-05-12,4.4375,0
201,1988-05-13,4.625,7600
202,1988-05-16,4.5,1400
203,1988-05-17,4.5,0
204,1988-05-18,4.4375,6800
205,1988-05-19,4.5,7000
206,1988-05-20,4.6875,2800
207,1988-05-23,4.75,1400
208,1988-05-24,4.75,0
209,1988-05-25,4.5625,1400
210,1988-05-26,4.5625,0
211,1988-05-27,4.4375,4800
212,1988-05-31,4.4375,1200
213,1988-06-01,4.375,4200
214,1988-06-02,4.375,600
215,1988-06-03,4.375,1200
216,1988-06-06,4.4375,4000
217,1988-06-07,4.4375,1600
218,1988-06-08,4.1875,4000
219,1988-06-09,4.1875,1800
220,1988-06-10,4.3125,2400
221,1988-06-13,4.0625,4200
222,1988-06-14,4.0625,0
223,1988-06-15,4.0625,5200
224,1988-06-16,4.1875,800
225,1988-06-17,4.1875,0
226,1988-06-20,4.25,2400
227,1988-06-21,4.25,1000
228,1988-06-22,4.25,4000
229,1988-06-23,4.25,3600
230,1988-06-24,4.25,0
231,1988-06-27,4.25,0
232,1988-06-28,4.3125,1200
233,1988-06-29,4.3125,3600
234,1988-06-30,4.3125,1000
235,1988-07-01,4.3125,800
236,1988-07-05,4.6875,5200
237,1988-07-06,4.6875,5000
238,1988-07-07,4.9375,15000
239,1988-07-08,5.0,3600
240,1988-07-11,4.9375,800
241,1988-07-12,4.8125,3200
242,1988-07-13,4.875,2000
243,1988-07-14,4.6875,2600
244,1988-07-15,4.6875,0
245,1988-07-18,4.6875,600
246,1988-07-19,4.8125,1400
247,1988-07-20,4.875,1800
248,1988-07-21,4.9375,37000
249,1988-07-22,4.875,600
250,1988-07-25,4.875,4600
