,Date,Adj Close,Volume
0,1994-03-04,24.0,17950
1,1994-03-07,25.375,68100
2,1994-03-08,24.75,9250
3,1994-03-09,24.0,125
4,1994-03-10,24.5,14375
5,1994-03-11,24.5,1375
6,1994-03-14,24.5,25
7,1994-03-15,24.0,75
8,1994-03-16,24.125,3625
9,1994-03-17,24.0,200
10,1994-03-18,24.5,100
11,1994-03-21,24.0,950
12,1994-03-22,24.0,2400
13,1994-03-23,25.5,3450
14,1994-03-24,24.0,2275
15,1994-03-25,24.0,400
16,1994-03-28,24.0,0
17,1994-03-29,24.0,225
18,1994-03-30,24.0,1000
19,1994-03-31,24.0,200
20,1994-04-04,24.25,750
21,1994-04-05,24.0,250
22,1994-04-06,24.0,300
23,1994-04-07,24.0,175
24,1994-04-08,24.0,1600
25,1994-04-11,25.25,600
26,1994-04-12,25.25,600
27,1994-04-13,25.25,1375
28,1994-04-14,25.25,1475
29,1994-04-15,24.0,900
30,1994-04-18,25.25,4875
31,1994-04-19,25.25,4900
32,1994-04-20,24.5,12475
33,1994-04-21,25.25,7050
34,1994-04-22,25.5,2800
35,1994-04-25,25.5,2500
36,1994-04-26,25.0,1050
37,1994-04-28,24.0,1225
38,1994-04-29,25.0,825
39,1994-05-02,25.5,3750
40,1994-05-03,24.5,675
41,1994-05-04,24.5,875
42,1994-05-05,26.0,775
43,1994-05-06,24.75,400
44,1994-05-09,24.5,725
45,1994-05-10,24.5,875
46,1994-05-11,25.5,1850
47,1994-05-12,26.5,800
48,1994-05-13,25.5,625
49,1994-05-16,25.5,350
50,1994-05-17,25.5,1425
51,1994-05-18,25.5,300
52,1994-05-19,25.5,0
53,1994-05-20,25.5,425
54,1994-05-23,25.5,75
55,1994-05-24,25.5,625
56,1994-05-25,25.5,1125
57,1994-05-26,25.5,3350
58,1994-05-27,25.5,400
59,1994-05-31,25.5,2250
60,1994-06-01,25.5,175
61,1994-06-02,26.5,725
62,1994-06-03,26.5,150
63,1994-06-06,26.5,0
64,1994-06-07,25.5,100
65,1994-06-08,25.5,50
66,1994-06-09,25.5,0
67,1994-06-10,25.5,50
68,1994-06-13,26.5,1325
69,1994-06-14,25.5,350
70,1994-06-15,26.5,550
71,1994-06-16,25.5,800
72,1994-06-17,25.5,900
73,1994-06-20,26.5,400
74,1994-06-21,25.5,550
75,1994-06-22,27.0,4675
76,1994-06-23,27.0,2400
77,1994-06-24,27.0,750
78,1994-06-27,27.0,900
79,1994-06-28,27.0,350
80,1994-06-29,27.0,1125
81,1994-06-30,27.0,12600
82,1994-07-01,26.0,850
83,1994-07-05,26.25,1400
84,1994-07-06,27.0,550
85,1994-07-07,27.0,625
86,1994-07-08,26.0,575
87,1994-07-11,26.5,150
88,1994-07-12,26.5,0
89,1994-07-13,26.5,0
90,1994-07-14,26.5,0
91,1994-07-15,26.0,625
92,1994-07-18,27.0,2450
93,1994-07-19,26.0,1025
94,1994-07-20,26.0,175
95,1994-07-21,26.0,1250
96,1994-07-22,27.0,2550
97,1994-07-25,27.0,0
98,1994-07-26,26.0,1050
99,1994-07-27,26.25,650
100,1994-07-28,27.0,675
101,1994-07-29,26.0,950
102,1994-08-01,27.0,1400
103,1994-08-02,26.0,725
104,1994-08-03,26.0,0
105,1994-08-04,26.0,775
106,1994-08-05,26.0,1975
107,1994-08-08,27.0,3125
108,1994-08-09,26.0,375
109,1994-08-10,27.0,200
110,1994-08-11,27.0,125
111,1994-08-12,27.0,0
112,1994-08-15,27.0,1550
113,1994-08-16,26.0,325
114,1994-08-17,26.0,875
115,1994-08-18,26.0,500
116,1994-08-19,27.0,1225
117,1994-08-22,26.0,600
118,1994-08-23,26.0,0
119,1994-08-24,26.0,100
120,1994-08-25,26.0,125
121,1994-08-26,26.0,0
122,1994-08-29,26.0,0
123,1994-08-30,26.0,0
124,1994-08-31,27.0,1225
125,1994-09-01,26.0,450
126,1994-09-02,26.0,275
127,1994-09-06,26.0,300
128,1994-09-07,26.0,875
129,1994-09-08,26.0,750
130,1994-09-09,26.25,500
131,1994-09-12,26.0,350
132,1994-09-13,26.25,250
133,1994-09-14,26.0,200
134,1994-09-15,26.0,0
135,1994-09-16,27.0,25
136,1994-09-19,26.0,75
137,1994-09-20,26.0,575
138,1994-09-21,27.0,775
139,1994-09-22,27.0,125
140,1994-09-23,24.0,225
141,1994-09-26,27.0,250
142,1994-09-27,24.0,750
143,1994-09-28,24.0,975
144,1994-09-29,27.0,625
145,1994-09-30,27.0,0
146,1994-10-03,25.75,450
147,1994-10-04,24.0,75
148,1994-10-05,24.0,250
149,1994-10-06,24.0,50
150,1994-10-07,24.0,0
151,1994-10-10,24.0,275
152,1994-10-11,24.0,125
153,1994-10-12,24.0,100
154,1994-10-13,24.0,125
155,1994-10-14,24.0,125
156,1994-10-17,24.25,1575
157,1994-10-18,24.0,25
158,1994-10-19,25.0,3050
159,1994-10-20,24.0,200
160,1994-10-21,24.25,2750
161,1994-10-24,26.0,375
162,1994-10-25,24.0,1000
163,1994-10-26,24.0,525
164,1994-10-27,26.0,650
165,1994-10-28,24.0,225
166,1994-10-31,24.0,375
167,1994-11-01,24.0,2625
168,1994-11-02,24.0,75
169,1994-11-03,24.0,0
170,1994-11-04,24.0,50
171,1994-11-07,24.0,825
172,1994-11-08,24.0,200
173,1994-11-09,24.0,0
174,1994-11-10,25.25,500
175,1994-11-11,25.25,1975
176,1994-11-14,25.25,0
177,1994-11-15,24.25,1050
178,1994-11-16,24.0,625
179,1994-11-17,24.25,550
180,1994-11-18,24.0,750
181,1994-11-21,24.0,50
182,1994-11-22,24.0,425
183,1994-11-23,24.0,500
184,1994-11-25,24.0,0
185,1994-11-28,24.25,625
186,1994-11-29,24.0,275
187,1994-11-30,24.0,200
188,1994-12-01,24.0,0
189,1994-12-02,24.0,350
190,1994-12-05,24.0,650
191,1994-12-06,24.0,600
192,1994-12-07,24.0,250
193,1994-12-08,24.0,200
194,1994-12-09,24.0,125
195,1994-12-12,24.0,2425
196,1994-12-13,24.0,375
197,1994-12-14,24.0,1775
198,1994-12-15,24.25,375
199,1994-12-16,24.0,3000
200,1994-12-19,24.25,1600
201,1994-12-20,24.0,300
202,1994-12-21,25.5,125
203,1994-12-22,24.0,300
204,1994-12-23,24.25,1825
205,1994-12-27,24.0,125
206,1994-12-28,24.5,800
207,1994-12-29,24.0,125
208,1994-12-30,24.0,875
209,1995-01-03,24.0,300
210,1995-01-04,24.0,0
211,1995-01-05,24.0,875
212,1995-01-06,24.0,450
213,1995-01-09,23.0,2300
214,1995-01-10,22.5,1900
215,1995-01-11,22.5,0
216,1995-01-12,23.0,2500
217,1995-01-13,21.5,125
218,1995-01-16,21.5,0
219,1995-01-17,21.5,0
220,1995-01-18,21.5,0
221,1995-01-19,21.5,300
222,1995-01-20,21.5,200
223,1995-01-23,21.5,0
224,1995-01-24,21.5,250
225,1995-01-25,21.5,250
226,1995-01-26,21.5,0
227,1995-01-27,23.0,775
228,1995-01-30,21.5,75
229,1995-01-31,21.5,500
230,1995-02-01,21.5,100
231,1995-02-02,21.5,150
232,1995-02-03,21.5,150
233,1995-02-06,21.5,575
234,1995-02-07,21.5,0
235,1995-02-08,23.0,250
236,1995-02-09,21.5,250
237,1995-02-10,21.5,0
